NameMod,URL
jei-1.20.1-forge-15.2.0.27.jar,https://mediafilez.forgecdn.net/files/4712/868/jei-1.20.1-forge-15.2.0.27.jar
journeymap-1.20.1-5.9.17-forge.jar,https://mediafilez.forgecdn.net/files/4865/411/journeymap-1.20.1-5.9.17-forge.jar
fancymenu_forge_2.14.9-3_MC_1.20.1,https://mediafilez.forgecdn.net/files/4776/833/fancymenu_forge_2.14.9-3_MC_1.20.1.jar
